origin,dest,pax_daily
MA,BE,350
MA,FO,200
MA,NA,200
MA,RE,300
MA,SA,200
MA,BR,500
MA,BH,200
MA,CI,200
MA,RJ,400
MA,SP,800
MA,CR,300
MA,FL,200
MA,PA,300
BE,MA,400
BE,FO,400
BE,NA,300
BE,RE,200
BE,SA,300
BE,BR,500
BE,BH,200
BE,CI,100
BE,RJ,400
BE,SP,900
BE,CR,300
BE,FL,200
BE,PA,200
FO,MA,300
FO,BE,350
FO,NA,500
FO,RE,400
FO,SA,400
FO,BR,600
FO,BH,300
FO,CI,200
FO,RJ,500
FO,SP,900
FO,CR,300
FO,FL,300
FO,PA,400
NA,MA,200
NA,BE,300
NA,FO,400
NA,RE,300
NA,SA,400
NA,BR,400
NA,BH,200
NA,CI,300
NA,RJ,400
NA,SP,600
NA,CR,300
NA,FL,300
NA,PA,300
RE,MA,300
RE,BE,400
RE,FO,600
RE,NA,400
RE,SA,600
RE,BR,500
RE,BH,300
RE,CI,300
RE,RJ,800
RE,SP,800
RE,CR,400
RE,FL,400
RE,PA,400
SA,MA,200
SA,BE,200
SA,FO,800
SA,NA,600
SA,RE,600
SA,BR,400
SA,BH,400
SA,CI,400
SA,RJ,800
SA,SP,1100
SA,CR,500
SA,FL,500
SA,PA,500
BR,MA,500
BR,BE,500
BR,FO,900
BR,NA,500
BR,RE,700
BR,SA,900
BR,BH,700
BR,CI,800
BR,RJ,1400
BR,SP,2500
BR,CR,600
BR,FL,600
BR,PA,800
BH,MA,200
BH,BE,300
BH,FO,400
BH,NA,200
BH,RE,500
BH,SA,200
BH,BR,500
BH,CI,200
BH,RJ,600
BH,SP,900
BH,CR,300
BH,FL,200
BH,PA,200
CI,MA,200
CI,BE,200
CI,FO,300
CI,NA,200
CI,RE,200
CI,SA,200
CI,BR,300
CI,BH,200
CI,RJ,200
CI,SP,400
CI,CR,100
CI,FL,100
CI,PA,200
RJ,MA,600
RJ,BE,700
RJ,FO,900
RJ,NA,600
RJ,RE,1000
RJ,SA,900
RJ,BR,1600
RJ,BH,900
RJ,CI,900
RJ,SP,3400
RJ,CR,900
RJ,FL,800
RJ,PA,900
SP,MA,800
SP,BE,900
SP,FO,1100
SP,NA,700
SP,RE,1400
SP,SA,1300
SP,BR,2500
SP,BH,100
SP,CI,800
SP,RJ,2800
SP,CR,1500
SP,FL,1200
SP,PA,1100
CR,MA,100
CR,BE,200
CR,FO,300
CR,NA,200
CR,RE,200
CR,SA,400
CR,BR,500
CR,BH,300
CR,CI,200
CR,RJ,600
CR,SP,800
CR,FL,300
CR,PA,500
FL,MA,100
FL,BE,150
FL,FO,200
FL,NA,500
FL,RE,300
FL,SA,200
FL,BR,600
FL,BH,400
FL,CI,200
FL,RJ,600
FL,SP,600
FL,CR,500
FL,PA,300
PA,MA,100
PA,BE,250
PA,FO,200
PA,NA,400
PA,RE,300
PA,SA,400
PA,BR,500
PA,BH,300
PA,CI,200
PA,RJ,700
PA,SP,800
PA,CR,300
PA,FL,300
