origin,dest,duration_min
MA,BE,120
MA,FO,180
MA,NA,180
MA,RE,180
MA,SA,180
MA,BR,180
MA,BH,240
MA,CI,180
MA,RJ,300
MA,SP,300
MA,CR,300
MA,FL,360
MA,PA,360
BE,MA,120
BE,FO,120
BE,NA,120
BE,RE,120
BE,SA,180
BE,BR,180
BE,BH,240
BE,CI,180
BE,RJ,240
BE,SP,240
BE,CR,300
BE,FL,300
BE,PA,360
FO,MA,180
FO,BE,120
FO,NA,60
FO,RE,60
FO,SA,120
FO,BR,180
FO,BH,180
FO,CI,240
FO,RJ,240
FO,SP,240
FO,CR,300
FO,FL,300
FO,PA,360
NA,MA,180
NA,BE,120
NA,FO,60
NA,RE,60
NA,SA,120
NA,BR,180
NA,BH,180
NA,CI,240
NA,RJ,240
NA,SP,240
NA,CR,300
NA,FL,300
NA,PA,360
RE,MA,180
RE,BE,120
RE,FO,60
RE,NA,60
RE,SA,120
RE,BR,180
RE,BH,180
RE,CI,240
RE,RJ,180
RE,SP,180
RE,CR,240
RE,FL,240
RE,PA,300
SA,MA,180
SA,BE,180
SA,FO,120
SA,NA,120
SA,RE,120
SA,BR,120
SA,BH,120
SA,CI,180
SA,RJ,120
SA,SP,120
SA,CR,180
SA,FL,180
SA,PA,240
BR,MA,180
BR,BE,180
BR,FO,180
BR,NA,180
BR,RE,180
BR,SA,120
BR,BH,60
BR,CI,60
BR,RJ,120
BR,SP,120
BR,CR,180
BR,FL,180
BR,PA,240
BH,MA,240
BH,BE,240
BH,FO,180
BH,NA,180
BH,RE,180
BH,SA,120
BH,BR,60
BH,CI,120
BH,RJ,60
BH,SP,60
BH,CR,120
BH,FL,120
BH,PA,180
CI,MA,180
CI,BE,180
CI,FO,240
CI,NA,240
CI,RE,240
CI,SA,180
CI,BR,60
CI,BH,120
CI,RJ,180
CI,SP,180
CI,CR,180
CI,FL,180
CI,PA,240
RJ,MA,300
RJ,BE,240
RJ,FO,240
RJ,NA,240
RJ,RE,180
RJ,SA,120
RJ,BR,120
RJ,BH,60
RJ,CI,180
RJ,SP,60
RJ,CR,120
RJ,FL,120
RJ,PA,180
SP,MA,300
SP,BE,240
SP,FO,240
SP,NA,240
SP,RE,180
SP,SA,120
SP,BR,120
SP,BH,60
SP,CI,180
SP,RJ,60
SP,CR,60
SP,FL,60
SP,PA,120
CR,MA,300
CR,BE,300
CR,FO,300
CR,NA,300
CR,RE,240
CR,SA,180
CR,BR,180
CR,BH,120
CR,CI,180
CR,RJ,120
CR,SP,60
CR,FL,60
CR,PA,60
FL,MA,360
FL,BE,300
FL,FO,300
FL,NA,300
FL,RE,240
FL,SA,180
FL,BR,180
FL,BH,120
FL,CI,180
FL,RJ,120
FL,SP,60
FL,CR,60
FL,PA,60
PA,MA,360
PA,BE,360
PA,FO,360
PA,NA,360
PA,RE,300
PA,SA,240
PA,BR,240
PA,BH,180
PA,CI,240
PA,RJ,180
PA,SP,120
PA,CR,60
PA,FL,60
